molecule,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
"Molecule   627",0,0,0,0,0,0,2,1,248.321,5.555,459.016,362.548,56.409,40.059,0.000,817.881,0.000,5.000,0.0377332,0.0000000,0.9214333,26.960,6.825,11.474,6.405,1.852,-2.298,-1.984,-2.994,2890.516,0.121,1558.152,-2.418,9.662,-0.795,4,-0.345,3,100.000,0.000,0.000,49.551,3,0,14,3,9,9,18,0,4.780
"Molecule   628",2,0,0,0,0,4,1,1,238.369,2.112,527.600,470.881,24.932,31.787,0.000,926.812,0.000,2.000,0.0048112,0.0000000,0.8713407,28.672,7.282,9.594,2.462,4.232,-4.517,-3.308,-3.765,5747.392,0.104,3275.277,-1.483,9.378,-1.089,4,0.604,3,100.000,0.000,0.000,26.032,2,0,6,0,6,4,17,0,0.238
"Molecule   629",0,0,0,0,0,8,0,-1,332.439,4.154,634.084,512.298,104.053,17.733,0.000,1164.621,0.000,5.750,0.0148187,0.0000000,0.8442577,35.487,9.902,14.362,5.972,3.393,-3.920,-3.701,-4.137,1021.336,-0.892,506.128,-2.607,9.716,1.371,8,0.121,3,100.000,0.000,0.000,87.816,4,0,5,0,5,1,24,1,0.099
"Molecule   630",0,0,0,0,0,1,1,1,246.305,5.630,435.979,313.927,55.444,66.608,0.000,790.432,0.000,5.000,0.0401002,0.0000000,0.9482930,25.473,6.960,11.046,6.303,1.711,-1.698,-2.006,-2.686,2952.033,0.092,1594.026,-2.211,9.647,0.187,4,-0.467,3,100.000,0.000,0.000,49.973,3,0,14,3,9,8,18,0,30.380
"Molecule   631",1,0,0,0,0,4,1,0,208.259,4.434,474.786,25.033,49.412,400.341,0.000,779.633,0.000,2.000,0.0252216,0.0000000,0.8628339,26.302,8.541,9.708,5.009,3.529,-3.543,-3.287,-5.661,3367.667,-0.120,1837.936,-0.636,9.514,0.679,0,0.176,3,100.000,0.000,0.000,27.619,1,0,12,0,12,0,16,0,14.682
"Molecule   632",0,0,0,1,0,6,1,-2,224.213,2.667,459.117,213.080,168.412,77.626,0.000,744.400,2.000,4.250,0.0095582,0.0130912,0.8651911,20.526,7.208,11.595,8.289,1.504,-2.221,-2.468,-2.276,63.453,-1.298,31.943,-3.774,8.819,0.675,3,-0.576,3,68.011,0.000,0.000,88.005,5,0,6,0,6,0,16,0,0.227
"Molecule   633",4,0,0,0,0,3,0,1,178.230,1.622,429.484,314.458,0.000,115.025,0.000,692.384,0.000,1.500,0.0038011,0.0000000,0.8812847,20.727,5.400,6.554,2.351,2.796,-3.686,-3.735,-4.001,9906.038,0.136,5899.293,-0.826,8.492,-0.059,3,0.099,3,100.000,0.000,0.000,15.618,2,0,6,0,6,0,13,0,4.897
"Molecule   634",2,0,0,0,0,4,1,0,152.236,4.948,433.860,325.928,82.237,25.695,0.000,694.044,0.000,2.000,0.0352814,0.0000000,0.8737892,19.299,5.311,6.968,2.585,2.310,-2.740,-1.378,-3.697,1644.543,-0.396,846.973,-2.561,9.675,0.191,5,-0.072,3,100.000,0.000,0.000,37.836,1,0,0,0,0,0,11,0,0.761
"Molecule   635",0,1,0,0,0,3,2,1,303.357,4.979,534.625,294.716,66.624,173.285,0.000,971.784,0.000,6.000,0.0255147,0.0000000,0.8874872,32.465,9.076,13.897,7.886,2.270,-2.148,-2.070,-4.905,576.767,0.217,301.925,-3.912,9.543,0.396,2,-0.293,3,89.653,0.000,0.000,65.575,5,0,14,0,14,7,22,0,1.179
"Molecule   636",0,0,0,0,0,7,1,-2,256.257,4.710,511.870,18.401,188.497,304.972,0.000,845.112,2.000,3.250,0.0262444,0.0089792,0.8445292,26.085,9.878,13.621,8.894,2.077,-3.170,-3.755,-5.502,161.577,-1.620,68.977,-3.247,8.994,0.533,3,-0.075,3,78.632,0.000,0.000,89.981,4,0,12,0,12,0,19,0,0.098
"Molecule   637",0,0,0,0,0,10,1,-2,354.402,4.509,680.022,300.398,153.081,226.543,0.000,1182.751,2.000,4.000,0.0171910,0.0083186,0.7953732,36.922,12.360,17.186,8.601,4.038,-5.410,-5.443,-5.923,350.136,-1.652,159.120,-2.583,9.085,0.691,7,0.548,3,96.128,0.000,0.000,91.236,5,0,12,0,12,0,26,1,0.004
"Molecule   638",3,0,0,0,0,5,0,0,154.252,2.531,423.454,343.842,56.054,23.558,0.000,694.571,1.000,1.700,0.0092220,0.0040146,0.8957143,18.657,5.514,7.564,3.316,2.539,-2.472,-1.624,-3.332,2913.012,-0.204,1571.263,-1.990,9.554,-0.647,6,-0.043,3,100.000,0.000,0.000,22.938,1,0,0,0,0,0,11,0,4.586
"Molecule   639",5,2,0,0,0,0,0,2,234.384,0.716,478.153,475.281,2.872,0.000,0.000,849.526,0.000,4.000,0.0006036,0.0000000,0.9072276,27.844,6.367,10.378,4.829,1.816,-0.745,-0.146,-4.485,578.718,1.337,335.247,-5.698,8.458,-2.585,0,0.014,3,87.019,0.000,0.000,8.284,2,0,17,0,17,15,17,0,0.085
"Molecule   640",0,0,0,0,0,2,0,0,170.229,6.532,388.551,177.389,98.212,31.922,81.028,597.959,2.000,3.000,0.0713549,0.0109191,0.8834147,16.797,5.535,10.610,7.011,0.706,-2.182,-1.856,-3.571,1160.267,-0.197,1614.363,-3.025,9.173,1.328,1,-0.430,3,85.926,0.000,0.000,64.594,3,0,6,0,6,0,11,0,0.760
"Molecule   641",0,1,0,0,0,3,0,2,279.381,1.504,553.924,231.497,9.031,313.397,0.000,982.646,0.000,2.750,0.0023026,0.0000000,0.8629372,34.238,9.655,12.314,5.292,4.288,-3.407,-3.337,-5.971,2028.436,0.700,1175.532,-2.357,8.894,0.218,3,0.608,3,100.000,0.000,0.000,13.841,2,0,15,0,12,1,21,0,0.334
"Molecule   642",1,0,0,0,0,0,0,1,142.175,6.231,313.454,95.144,99.599,37.679,81.033,470.500,2.000,3.000,0.0825182,0.0135351,0.9333193,13.035,4.680,9.627,7.320,0.599,-1.155,-1.380,-2.791,1125.638,0.000,1562.441,-3.222,9.193,1.342,1,-0.601,3,85.068,0.000,0.000,65.158,3,0,6,0,6,0,9,0,2.761
"Molecule   643",0,0,0,0,0,4,0,-2,286.240,2.270,500.495,0.000,242.801,257.694,0.000,837.913,4.000,5.500,0.0061498,0.0219782,0.8588111,27.272,10.379,18.218,14.722,0.480,-2.761,-3.678,-5.046,49.365,-1.872,19.147,-4.702,8.781,1.001,4,-0.377,3,60.064,0.000,0.000,120.736,6,0,16,0,16,0,21,0,0.010
"Molecule   644",2,1,0,0,0,3,0,2,284.418,2.671,538.216,207.711,3.833,290.663,36.009,945.978,0.000,2.500,0.0075405,0.0000000,0.8658903,32.554,9.372,11.776,4.831,4.806,-4.126,-3.744,-5.814,2272.213,0.835,2092.981,-2.341,7.670,0.230,6,0.568,3,100.000,0.000,0.000,7.641,2,0,14,0,14,0,20,0,0.360
"Molecule   645",0,0,0,0,0,2,0,0,282.295,4.489,533.875,185.786,54.008,294.080,0.000,905.623,0.000,4.000,0.0222539,0.0000000,0.8479250,31.613,9.026,12.502,6.870,3.226,-3.914,-4.172,-5.395,3046.061,-0.058,1648.975,-1.287,8.841,0.731,2,0.092,3,100.000,0.000,0.000,51.136,4,0,16,0,16,0,21,0,1.777
"Molecule   646",0,0,0,0,0,2,0,0,268.268,6.482,508.371,92.667,108.530,307.174,0.000,853.698,1.000,4.000,0.0492130,0.0078683,0.8560924,29.660,9.245,13.949,8.734,2.593,-3.958,-4.034,-5.325,926.210,-0.544,455.373,-2.246,9.002,0.730,2,0.098,3,95.229,0.000,0.000,66.278,4,0,16,0,16,0,20,0,0.233
"Molecule   647",0,0,0,0,0,2,0,0,268.268,4.518,508.024,92.577,108.535,306.912,0.000,854.701,1.000,4.000,0.0238838,0.0078736,0.8573477,29.698,9.260,13.618,8.731,2.600,-3.954,-4.034,-5.304,926.108,-0.541,455.319,-2.247,9.228,0.673,2,0.101,3,95.264,0.000,0.000,66.257,4,0,16,0,16,0,20,0,0.236
"Molecule   648",0,0,0,0,0,1,0,-1,152.214,6.874,356.183,0.000,86.608,203.708,65.868,543.633,3.000,2.500,0.0869134,0.0121570,0.9044033,16.905,6.384,12.268,9.210,0.820,-1.790,-1.585,-4.050,1494.850,-0.041,1753.446,-2.302,8.674,0.921,2,-0.542,3,88.567,0.000,0.000,46.156,2,0,6,0,6,0,10,0,12.240
"Molecule   649",0,0,0,0,0,5,1,0,192.214,1.772,453.769,167.760,104.423,181.586,0.000,722.049,1.000,2.750,0.0043478,0.0060604,0.8577776,21.266,6.978,9.382,5.827,2.043,-2.679,-2.384,-4.699,1013.117,-0.684,501.727,-2.324,9.152,0.556,1,-0.156,3,92.702,0.000,0.000,57.979,3,0,6,0,6,0,14,0,1.560
"Molecule   650",0,0,0,0,0,2,0,0,254.242,3.414,468.100,0.000,128.241,339.859,0.000,785.669,1.000,3.000,0.0148311,0.0064089,0.8796694,27.250,9.065,12.297,8.008,2.455,-3.437,-4.123,-5.100,602.275,-0.662,285.979,-2.494,9.179,0.858,2,0.105,3,91.071,0.000,0.000,73.074,4,0,16,0,16,0,19,0,0.303
"Molecule   651",0,0,0,1,0,5,1,-2,180.160,1.634,389.070,29.559,213.868,145.643,0.000,608.055,3.000,3.500,0.0043916,0.0155812,0.8921399,16.361,6.997,11.539,9.839,0.555,-1.296,-1.843,-2.164,23.517,-1.529,10.926,-4.468,9.068,0.729,2,-0.805,2,54.741,0.000,0.000,94.801,4,0,6,0,6,0,13,0,0.310
"Molecule   652",0,0,0,0,0,2,0,1,228.311,6.795,480.925,0.000,25.797,389.727,65.401,788.145,2.000,2.500,0.0585826,0.0073515,0.8580087,27.825,9.274,14.121,8.676,3.447,-3.765,-3.449,-5.688,5639.848,0.370,7322.330,-0.430,8.594,1.134,2,0.101,3,100.000,0.000,0.000,27.851,2,0,12,0,12,0,16,0,10.366
"Molecule   653",0,0,0,0,0,1,0,0,202.273,7.125,417.592,0.000,77.877,273.462,66.253,675.464,3.000,2.500,0.0751575,0.0103693,0.8915547,22.848,8.119,14.239,9.773,2.079,-2.779,-2.715,-4.591,1808.817,0.013,2165.205,-1.895,8.415,1.196,1,-0.237,3,100.000,0.000,0.000,44.730,2,0,10,0,10,0,14,0,4.278
"Molecule   654",0,0,0,0,0,6,1,-1,222.240,3.535,490.295,259.034,101.339,129.922,0.000,798.661,1.000,3.500,0.0156504,0.0071386,0.8490802,23.197,7.345,10.469,6.061,2.269,-3.011,-2.709,-4.594,1083.675,-0.735,539.600,-2.353,8.862,0.590,2,-0.130,3,94.548,0.000,0.000,65.209,4,0,6,0,6,0,16,0,0.961
"Molecule   655",2,0,0,0,2,0,0,0,194.233,1.581,407.008,322.741,84.267,0.000,0.000,671.269,0.000,6.000,0.0037225,0.0000000,0.9109482,20.710,5.208,9.375,11.960,-1.082,1.349,0.666,-0.224,481.723,-0.114,807.354,-3.073,9.466,-0.644,2,-1.682,2,68.628,0.000,64.573,60.572,4,0,12,0,12,8,14,0,3669.606
"Molecule   656",0,0,0,0,0,1,0,2,151.226,6.380,361.747,89.985,18.881,191.173,61.708,566.475,1.000,2.000,0.0718510,0.0055287,0.9152651,17.700,5.694,8.807,5.254,2.637,-1.783,-1.835,-3.815,6559.236,0.504,8228.286,-1.098,8.606,1.194,1,-0.260,3,100.000,0.000,0.000,20.621,1,0,6,0,6,0,10,0,62.988
"Molecule   657",1,0,0,0,2,2,0,-1,170.211,1.346,388.750,248.408,140.341,0.000,0.000,626.724,2.000,5.000,0.0028905,0.0181892,0.9110577,17.643,5.596,10.864,14.500,-1.067,0.795,0.076,-0.222,119.076,-0.684,214.931,-3.914,10.017,-0.362,2,-1.209,2,57.854,0.000,74.022,81.148,4,0,6,0,6,2,12,0,129.298
"Molecule   658",0,1,0,1,0,2,0,0,375.399,8.419,612.641,358.044,165.898,62.169,26.530,1117.168,1.000,6.750,0.0634509,0.0110179,0.8499074,37.865,10.275,18.571,10.426,0.626,-4.227,-3.607,-3.176,16.718,-0.625,11.681,-6.229,8.758,0.822,1,0.103,2,52.501,26.530,0.000,99.638,7,0,19,3,16,7,27,1,0.000
"Molecule   659",6,0,0,0,0,0,0,0,128.148,5.462,272.442,0.000,102.415,88.979,81.048,404.869,2.000,3.000,0.0736985,0.0155727,0.9714804,10.899,4.785,8.918,7.589,-0.368,-0.987,-1.163,-2.418,1058.509,0.039,1462.248,-3.094,9.254,1.414,0,-0.703,3,78.927,0.000,0.000,65.742,3,0,6,0,6,0,8,0,12.538
"Molecule   660",6,0,0,0,0,0,0,1,114.165,6.724,294.005,85.048,42.128,93.434,73.396,431.529,1.000,2.500,0.1047575,0.0085032,0.9393265,12.008,4.013,7.628,5.301,0.733,-1.082,-0.969,-2.959,3948.216,0.425,5508.746,-1.967,8.111,0.268,0,-0.614,3,95.605,0.000,0.000,27.807,2,0,5,0,5,0,7,0,69.636
"Molecule   661",0,0,0,0,1,10,0,-2,305.416,3.943,669.774,462.862,92.685,114.227,0.000,1145.416,2.000,4.000,0.0135761,0.0084459,0.7904575,34.355,10.783,15.727,9.168,3.461,-4.438,-3.465,-4.093,845.158,-1.028,661.876,-1.865,8.974,0.076,6,0.124,3,100.000,0.000,23.873,66.623,4,0,6,0,6,0,22,0,0.152
"Molecule   662",1,0,0,0,0,5,1,0,196.289,2.958,508.596,433.652,57.998,16.946,0.000,839.554,0.000,2.000,0.0104220,0.0000000,0.8462361,24.396,6.424,8.186,2.320,3.417,-3.994,-2.314,-4.101,2791.936,-0.278,1500.794,-2.049,9.494,-0.629,6,0.308,3,100.000,0.000,0.000,38.316,2,0,0,0,0,0,14,0,0.178
"Molecule   663",3,0,0,0,0,2,0,-1,116.181,7.536,321.932,116.926,87.780,46.778,70.448,470.381,3.000,2.500,0.1207273,0.0134505,0.9085890,11.833,4.532,10.709,7.849,0.559,-1.130,-0.677,-3.234,1457.076,-0.093,1807.038,-2.780,8.598,0.509,2,-0.741,3,86.841,0.000,0.000,46.778,2,0,0,0,0,0,7,0,14.278
"Molecule   664",0,0,0,0,0,3,2,0,260.289,8.633,504.019,281.421,64.905,157.694,0.000,871.631,0.000,5.250,0.0855102,0.0000000,0.8755344,28.308,7.937,12.761,6.956,2.160,-2.531,-2.635,-4.298,2401.092,-0.182,1275.049,-1.872,9.223,0.809,2,-0.383,3,100.000,0.000,0.000,58.918,4,0,13,3,10,2,19,0,10.286
"Molecule   665",0,0,0,0,2,1,0,0,312.411,1.766,579.303,358.439,65.574,155.290,0.000,1038.284,0.000,6.000,0.0030036,0.0000000,0.8559935,36.239,9.445,14.864,12.360,1.624,-2.077,-2.129,-1.854,866.796,-0.093,1255.059,-2.085,9.518,0.039,5,-0.659,3,89.036,0.000,54.792,55.149,4,0,20,0,20,11,23,0,21.511
"Molecule   666",4,0,0,0,0,0,0,-1,118.153,4.668,304.586,97.697,126.075,0.000,80.814,434.569,2.000,2.000,0.0501490,0.0092861,0.9109489,11.237,3.925,8.050,6.237,0.213,-1.419,-0.830,-2.973,631.434,-0.251,834.115,-3.843,8.882,0.894,1,-0.622,3,78.311,0.000,0.000,72.331,3,0,0,0,0,0,7,0,0.646
"Molecule   667",6,0,0,0,0,0,0,1,102.154,6.624,271.415,122.338,67.112,0.000,81.965,386.126,2.000,2.500,0.1136492,0.0130263,0.9448235,9.299,3.355,8.285,6.249,0.335,-0.864,-0.690,-2.425,2288.112,0.263,3403.349,-2.756,8.570,0.266,0,-0.734,3,89.033,0.000,0.000,39.889,2,0,5,0,5,2,6,0,22.140
"Molecule   668",5,0,0,0,0,0,0,-1,90.143,7.373,261.673,94.901,96.213,0.000,70.558,363.642,3.000,2.500,0.1494774,0.0165479,0.9415774,8.399,3.394,10.003,7.884,-0.146,-0.483,-0.388,-2.477,1212.020,0.013,1482.972,-3.293,8.604,0.507,1,-0.832,3,81.278,0.000,0.000,48.147,2,0,0,0,0,0,5,0,10.925
