molecule,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
"Molecule     1",0,0,0,0,0,0,1,0,246.305,4.560,475.649,327.368,104.692,43.589,0.000,826.608,0.000,5.000,0.0251607,0.0000000,0.8955262,27.343,7.093,11.618,6.797,1.579,-2.613,-2.195,-3.430,1007.171,-0.307,498.545,-3.295,10.105,0.507,5,-0.320,3,89.943,0.000,0.000,64.349,3,0,13,0,10,6,18,0,0.304
"Molecule     2",9,0,0,0,0,20,3,-2,624.594,6.045,909.721,261.501,410.533,237.687,0.000,1742.769,9.000,20.300,0.0209672,0.0669436,0.7698689,53.020,21.167,42.881,35.083,-1.514,-2.649,-4.250,-6.389,1.267,-5.260,0.365,-6.328,9.053,0.686,10,-1.362,1,0.000,0.000,0.000,255.696,15,3,24,0,24,10,44,2,0.001
"Molecule     3",0,0,0,0,0,9,2,-2,410.377,3.514,631.900,246.546,286.252,99.102,0.000,1175.489,5.000,13.250,0.0105029,0.0468870,0.8524373,36.057,13.005,26.858,22.250,-0.773,-2.468,-3.139,-4.392,19.115,-2.605,6.866,-5.582,9.526,0.576,7,-0.786,2,45.351,0.000,0.000,172.310,10,0,18,0,18,5,29,2,0.004
"Molecule     4",0,0,0,0,0,5,2,-2,480.468,4.343,629.929,376.178,252.419,1.332,0.000,1247.467,2.000,12.900,0.0151191,0.0289610,0.8896641,40.572,12.093,23.924,17.494,0.091,-2.678,-4.109,-3.324,40.014,-1.864,15.258,-5.687,9.700,0.407,8,-0.537,2,43.195,0.000,0.000,183.888,11,1,19,0,19,13,34,1,0.002
"Molecule     5",1,0,0,0,0,8,2,-2,564.585,7.178,724.489,459.205,261.306,3.978,0.000,1485.468,3.000,13.650,0.0346889,0.0326333,0.8690444,48.196,14.389,28.713,19.341,1.083,-3.554,-5.438,-3.670,32.956,-2.225,12.371,-5.553,9.452,0.402,10,-0.199,1,34.537,0.000,0.000,199.675,12,2,19,0,19,13,40,1,0.000
"Molecule     6",17,0,0,0,0,25,3,-2,943.133,8.402,1300.740,834.912,441.104,24.723,0.000,2664.042,11.000,30.900,0.0264978,0.0787888,0.7144995,84.645,29.157,62.345,47.050,-1.201,-4.075,-5.388,-6.270,0.650,-6.704,0.178,-7.162,9.652,-0.592,17,-1.591,1,0.000,0.000,0.000,288.615,18,3,35,0,35,29,66,2,0.000
"Molecule     7",1,0,0,0,0,10,3,-2,362.333,7.200,523.871,210.591,245.225,68.056,0.000,980.259,5.000,16.300,0.0528821,0.0695742,0.9109635,27.305,10.927,25.849,24.283,-2.278,-0.929,-0.712,-3.297,46.820,-2.009,18.082,-4.839,9.759,-0.749,7,-1.227,2,30.543,0.000,0.000,158.640,10,1,16,3,13,11,25,1,0.619
"Molecule     8",1,0,0,0,0,12,4,-2,482.440,3.933,718.503,222.945,281.394,214.165,0.000,1319.450,5.000,17.350,0.0117219,0.0539953,0.8097139,40.990,15.124,30.758,26.584,-1.347,-2.184,-2.640,-5.632,21.254,-3.021,7.700,-4.799,9.391,0.222,7,-1.284,2,16.899,0.000,0.000,188.509,12,2,22,3,19,11,34,2,0.050
"Molecule     9",0,0,0,1,0,10,4,-2,520.489,3.301,785.378,356.075,253.134,176.168,0.000,1481.764,3.000,16.250,0.0073555,0.0358373,0.8003365,48.408,15.713,29.677,22.723,0.708,-3.341,-3.969,-3.795,9.978,-2.674,4.325,-4.604,9.400,0.516,5,-1.013,2,23.057,0.000,0.000,189.749,12,2,22,0,22,10,37,1,0.006
"Molecule    10",1,0,0,0,0,3,2,-2,378.421,4.468,516.186,304.489,182.397,29.299,0.000,997.916,3.000,9.900,0.0200070,0.0332193,0.9355960,32.136,10.056,20.663,15.885,0.330,-2.443,-3.308,-2.714,184.598,-1.007,79.658,-4.490,10.543,0.748,5,-0.374,3,69.439,0.000,0.000,122.983,7,0,19,0,19,13,27,0,0.044
"Molecule    11",2,0,0,1,0,8,1,-2,322.228,2.698,537.574,0.000,374.025,163.549,0.000,899.797,6.000,8.250,0.0080871,0.0375916,0.8384738,26.281,11.629,22.605,19.819,-0.866,-2.130,-3.111,-3.118,0.712,-3.466,0.249,-7.069,9.132,0.722,5,-0.956,1,6.280,0.000,0.000,189.857,9,1,12,0,12,0,23,1,0.000
"Molecule    12",9,0,0,0,0,11,3,-2,764.949,16.076,1086.647,832.011,223.883,30.753,0.000,2188.499,5.000,20.750,0.1180849,0.0426987,0.7501950,74.660,21.583,45.339,29.401,1.878,-5.458,-6.411,-5.721,74.614,-2.752,29.923,-4.481,10.262,0.158,7,-0.118,2,45.545,0.000,0.000,171.448,13,2,40,0,40,33,54,1,0.000
"Molecule    13",0,0,0,0,0,1,1,-1,176.171,3.194,358.818,107.169,131.937,119.711,0.000,582.422,0.000,5.000,0.0175177,0.0000000,0.9399735,17.656,5.746,8.400,6.999,-0.113,-0.238,-0.965,-3.074,555.568,-0.492,262.084,-3.433,10.246,0.916,1,-1.071,3,75.409,0.000,0.000,74.623,3,0,10,0,10,2,13,0,37.717
"Molecule    14",0,0,0,0,0,2,1,0,266.336,8.388,486.640,337.958,136.058,12.624,0.000,870.602,2.000,6.400,0.0808102,0.0185989,0.9060873,27.524,8.042,16.187,10.694,1.156,-2.818,-2.028,-3.112,507.765,-0.662,237.797,-3.791,10.004,-0.282,7,-0.214,2,82.143,0.000,0.000,79.192,4,0,13,0,5,7,19,1,0.066
"Molecule    15",0,0,0,0,0,6,4,-2,378.378,5.486,523.255,297.419,162.362,63.474,0.000,1022.414,0.000,10.100,0.0294378,0.0000000,0.9380003,31.517,9.702,16.195,11.139,-0.003,0.132,-2.075,-2.838,285.903,-1.028,127.816,-3.712,10.311,0.345,5,-1.370,2,70.891,0.000,0.000,127.280,8,0,17,3,5,10,27,0,99.548
"Molecule    16",4,0,0,0,0,16,3,-2,532.543,3.621,849.301,292.297,269.854,287.150,0.000,1594.466,5.000,14.000,0.0082225,0.0368597,0.7771657,50.125,18.227,31.971,23.135,1.484,-4.053,-5.056,-6.507,27.345,-3.379,10.111,-3.945,9.207,0.049,9,-0.503,1,35.432,0.000,0.000,183.070,11,2,18,0,18,5,38,1,0.005
"Molecule    17",8,0,0,0,0,18,3,-2,564.542,3.052,896.379,316.964,346.627,232.788,0.000,1655.837,7.000,15.500,0.0056237,0.0457498,0.7551244,50.778,19.592,36.007,27.366,0.353,-3.919,-4.968,-6.604,5.115,-4.574,1.651,-5.360,8.866,0.097,11,-0.795,1,2.824,0.000,0.000,230.872,13,3,18,0,18,5,40,2,0.000
"Molecule    18",5,0,0,0,0,17,3,-2,548.543,5.119,859.176,282.252,318.015,258.909,0.000,1609.295,6.000,14.750,0.0162840,0.0420519,0.7729891,49.807,18.761,33.972,25.277,0.779,-3.802,-5.015,-6.440,9.554,-4.009,3.245,-4.836,8.959,-0.124,10,-0.662,1,10.175,0.000,0.000,201.380,12,3,18,0,18,5,39,2,0.001
"Molecule    19",5,0,0,0,0,17,3,-2,548.543,5.429,891.802,288.459,321.385,281.958,0.000,1630.296,6.000,14.750,0.0180819,0.0405135,0.7511751,50.867,19.338,34.306,25.535,0.852,-4.266,-5.015,-6.903,8.876,-4.258,2.996,-4.817,9.098,0.077,10,-0.668,1,10.027,0.000,0.000,205.417,12,3,18,0,18,5,39,2,0.000
"Molecule    20",9,0,0,0,0,18,3,-2,564.542,4.719,913.318,306.609,376.562,230.147,0.000,1673.578,7.000,15.500,0.0133077,0.0449013,0.7464033,51.463,20.040,36.450,27.593,0.221,-4.156,-4.968,-6.733,2.660,-5.028,0.815,-5.921,8.944,0.010,11,-0.780,1,0.000,0.000,0.000,230.306,13,3,18,0,18,5,40,2,0.000
"Molecule    21",11,0,0,0,0,21,4,-2,698.676,8.559,1102.571,319.789,400.613,382.169,0.000,2063.753,7.000,16.550,0.0354985,0.0397137,0.7109901,66.603,25.378,42.790,29.619,2.036,-6.185,-7.444,-8.031,1.574,-5.986,0.462,-5.540,9.023,0.147,12,-0.281,1,3.517,0.000,0.000,262.377,15,3,24,0,24,5,50,3,0.000
"Molecule    22",3,0,0,0,0,0,1,1,146.145,5.438,320.953,0.000,63.945,257.008,0.000,503.613,0.000,2.500,0.0587107,0.0000000,0.9537954,16.455,5.550,7.131,5.137,1.389,-1.845,-1.616,-3.505,2451.920,0.095,1304.248,-1.793,9.383,0.677,0,-0.589,3,95.745,0.000,0.000,39.115,2,0,10,0,10,0,11,0,240.921
"Molecule    23",1,0,0,0,0,3,1,-1,364.438,4.427,519.857,310.791,179.761,29.304,0.000,1013.590,3.000,10.100,0.0193393,0.0336510,0.9386910,32.763,10.193,20.984,16.073,0.372,-2.451,-2.929,-2.664,195.535,-0.977,84.771,-4.441,10.504,0.702,6,-0.363,3,70.134,0.000,0.000,114.610,6,0,17,0,17,12,26,0,0.047
"Molecule    25",1,0,0,1,0,14,0,-2,280.450,2.554,686.885,548.556,108.162,30.167,0.000,1177.222,1.000,2.000,0.0055429,0.0029117,0.7849702,32.257,10.397,12.138,2.659,5.633,-5.797,-4.070,-3.348,236.481,-1.451,132.415,-2.063,9.772,-0.866,4,0.686,3,89.456,0.000,0.000,50.951,2,1,0,0,0,0,20,1,0.004
"Molecule    26",2,0,0,1,0,2,0,-1,456.707,3.133,685.733,578.735,90.444,16.554,0.000,1397.767,2.000,3.700,0.0070232,0.0076307,0.8816581,48.659,12.315,21.046,8.230,6.260,-6.908,-6.947,-1.718,348.190,-0.333,201.162,-2.936,9.389,-1.060,3,1.401,1,96.135,0.000,0.000,58.632,3,1,22,0,22,20,33,1,0.000
"Molecule    27",20,0,0,0,0,23,5,-2,1049.211,5.413,1340.142,914.685,425.457,0.000,0.000,2822.442,12.000,35.500,0.0103829,0.0917631,0.7207160,92.032,30.225,68.743,53.307,-2.053,-3.634,-5.443,-6.051,0.915,-6.283,0.257,-7.152,10.526,-1.006,12,-1.898,1,0.000,0.000,0.000,320.568,22,3,49,0,49,43,73,2,0.000
"Molecule    28",2,0,0,0,0,14,0,-1,296.535,2.660,695.396,631.369,55.771,8.256,0.000,1243.913,1.000,1.700,0.0056881,0.0024446,0.8043763,34.717,10.479,12.646,1.879,6.015,-6.068,-4.516,-4.737,2931.021,-0.855,1581.766,-1.174,9.928,-0.623,3,1.101,1,100.000,0.000,0.000,23.078,1,1,0,0,0,0,21,1,0.017
"Molecule    29",1,0,0,0,0,0,0,1,332.439,4.656,497.353,376.987,43.480,76.886,0.000,973.085,0.000,5.450,0.0222806,0.0000000,0.9548487,33.523,8.639,13.943,7.103,2.778,-2.788,-3.897,-2.629,3833.388,0.246,2114.141,-2.050,9.712,-0.803,1,-0.015,3,100.000,0.000,0.000,48.101,4,0,20,0,20,14,24,0,4.823
"Molecule    30",2,0,0,0,0,8,1,-2,276.243,7.254,488.333,173.279,238.397,76.658,0.000,834.317,4.000,13.200,0.0630773,0.0540614,0.8776792,22.831,9.142,21.203,20.133,-2.052,-1.055,-0.609,-3.877,54.347,-1.982,21.244,-4.875,10.941,0.505,5,-1.225,2,45.988,0.000,0.000,143.743,8,0,11,0,11,6,19,0,0.325
"Molecule    31",5,0,0,0,0,12,5,-2,710.771,6.514,963.727,635.345,297.500,30.882,0.000,1947.828,5.000,21.600,0.0217862,0.0501170,0.7826689,64.388,19.632,41.304,30.224,0.184,-4.218,-4.909,-5.196,14.952,-3.398,5.265,-5.742,9.937,-0.582,8,-0.765,2,23.133,0.000,0.000,233.772,15,2,28,0,28,24,50,2,0.000
"Molecule    32",1,0,0,0,0,1,1,0,264.321,4.236,463.336,288.156,116.565,58.615,0.000,827.819,1.000,5.750,0.0216765,0.0124100,0.9202221,26.893,7.693,13.385,8.933,1.408,-2.663,-2.608,-3.102,777.170,-0.414,376.713,-3.365,10.614,0.425,2,-0.206,3,86.925,0.000,0.000,77.181,4,0,13,0,13,8,19,0,0.248
"Molecule    33",1,0,0,0,0,1,1,0,306.358,4.640,488.295,312.540,108.573,67.182,0.000,902.520,0.000,5.500,0.0238552,0.0000000,0.9249541,29.964,8.199,12.913,7.287,1.832,-2.428,-3.224,-3.067,925.336,-0.343,454.908,-3.188,10.588,0.306,1,-0.276,3,90.763,0.000,0.000,87.063,5,0,15,0,13,9,22,0,0.742
"Molecule    34",19,1,0,0,0,23,4,-2,1034.200,8.689,1340.987,936.037,404.950,0.000,0.000,2804.718,13.000,35.750,0.0269200,0.0961220,0.7172433,91.323,30.259,70.166,54.881,-2.782,-2.334,-3.936,-6.833,0.357,-5.672,0.103,-8.837,9.227,-0.995,13,-2.013,1,0.000,0.000,0.000,321.440,22,3,49,0,49,43,72,2,0.000
"Molecule    35",1,0,0,0,0,7,2,-2,360.363,10.487,591.498,278.872,189.745,122.881,0.000,1085.100,0.000,8.700,0.1013476,0.0000000,0.8633594,33.951,10.549,17.272,10.294,0.968,-1.731,-3.016,-4.329,157.235,-1.555,66.975,-3.912,10.611,0.487,3,-0.856,3,71.928,0.000,0.000,129.612,7,0,13,0,13,7,26,0,0.820
"Molecule    36",0,0,0,0,0,9,3,-2,392.405,4.672,616.453,351.665,165.146,99.642,0.000,1167.705,1.000,9.400,0.0186925,0.0152485,0.8699356,35.750,11.205,18.428,11.742,1.686,-2.635,-3.574,-4.112,269.040,-1.434,119.688,-3.348,10.276,0.174,4,-0.412,3,80.304,0.000,0.000,142.468,8,0,10,0,10,7,28,0,0.408
"Molecule    37",0,0,0,0,0,4,4,-1,362.379,4.602,553.875,340.906,131.087,81.882,0.000,1050.247,0.000,9.400,0.0201609,0.0000000,0.9021544,34.090,9.670,16.440,10.877,0.758,-1.140,-2.060,-3.506,565.979,-0.751,267.397,-3.263,10.386,0.325,5,-1.017,3,80.652,0.000,0.000,110.756,7,0,17,3,5,10,26,0,14.326
"Molecule    38",0,0,0,0,0,4,0,0,165.235,1.601,415.641,252.438,85.929,77.275,0.000,673.976,1.000,3.200,0.0038028,0.0076989,0.8944221,18.988,5.879,8.678,5.564,1.671,-2.135,-1.467,-3.609,1517.172,-0.394,776.296,-2.447,9.376,-0.068,4,-0.302,3,93.665,0.000,0.000,38.283,2,0,6,0,6,4,12,0,4.328
"Molecule    39",2,0,0,1,0,10,2,-2,646.817,4.359,921.260,616.092,268.995,36.173,0.000,1848.001,5.000,15.200,0.0102805,0.0368932,0.7905288,61.727,18.547,36.689,24.101,2.782,-5.768,-6.017,-3.286,7.057,-2.909,2.974,-5.390,10.305,0.220,6,0.007,2,45.467,0.000,0.000,177.471,10,1,30,3,27,25,46,2,0.000
"Molecule    40",12,0,0,2,0,15,3,-2,822.942,6.475,1068.124,633.183,400.561,34.380,0.000,2225.744,7.000,23.000,0.0188339,0.0569712,0.7718394,73.617,23.272,48.657,34.846,1.342,-4.857,-6.288,-1.773,0.101,-4.823,0.038,-7.341,10.272,0.236,9,-0.855,1,0.000,0.000,0.000,277.558,16,3,36,3,33,30,58,2,0.000
"Molecule    41",12,0,0,2,0,15,3,-2,822.942,8.101,1062.352,631.492,395.410,35.451,0.000,2198.196,7.000,23.000,0.0298567,0.0572807,0.7696160,72.525,23.052,48.371,34.805,1.213,-4.779,-6.288,-1.814,0.113,-4.791,0.043,-7.242,10.170,0.175,9,-0.921,1,0.000,0.000,0.000,267.682,16,3,36,3,33,30,58,2,0.000
"Molecule    42",9,0,0,2,0,12,2,-2,778.932,4.854,1025.614,616.834,395.145,13.635,0.000,2117.936,6.000,19.350,0.0111244,0.0462139,0.7776598,71.031,21.898,44.239,30.168,2.252,-5.777,-7.060,-1.580,0.114,-4.516,0.044,-7.602,10.120,0.118,8,-0.346,1,0.000,0.000,0.000,245.105,14,3,33,0,33,28,55,3,0.000
"Molecule    43",9,0,0,2,0,11,2,-2,778.932,7.559,993.453,619.777,359.892,13.784,0.000,2099.785,6.000,20.300,0.0272152,0.0500523,0.7982414,70.948,21.246,44.923,31.008,2.086,-5.217,-6.688,-1.247,0.246,-3.865,0.100,-7.048,10.131,0.085,8,-0.443,1,0.000,0.000,0.000,240.368,14,3,34,0,34,29,55,2,0.000
"Molecule    44",3,0,0,0,0,14,2,-2,596.714,8.288,860.936,467.155,250.892,142.889,0.000,1711.136,6.000,17.500,0.0401444,0.0497901,0.8036194,54.701,18.130,37.287,27.406,0.776,-3.657,-4.607,-5.391,41.371,-2.870,15.818,-4.296,9.094,-0.682,11,-0.639,1,21.551,0.000,0.000,163.262,11,3,27,0,27,18,42,1,0.007
"Molecule    45",17,0,0,0,0,26,3,-2,945.149,3.526,1250.727,807.507,421.225,21.995,0.000,2612.512,12.000,30.600,0.0047589,0.0847519,0.7334569,81.914,28.335,62.383,47.725,-1.292,-3.316,-5.385,-5.950,1.003,-6.224,0.284,-6.709,9.416,-0.656,17,-1.629,1,0.000,0.000,0.000,284.430,18,3,35,0,35,30,66,2,0.000
"Molecule    46",10,0,0,0,0,13,3,-2,797.034,5.779,1111.301,842.467,268.835,0.000,0.000,2300.488,6.000,18.800,0.0145167,0.0414383,0.7583677,77.564,22.701,45.562,28.660,3.326,-7.049,-7.495,-5.442,27.960,-3.336,10.357,-5.226,10.449,-0.982,7,0.404,1,33.435,0.000,0.000,193.942,13,3,33,0,33,30,56,2,0.000
"Molecule    47",4,0,0,0,0,2,1,1,128.171,3.067,371.991,317.425,38.826,15.741,0.000,569.660,0.000,2.000,0.0165146,0.0000000,0.8933933,15.510,3.757,5.258,2.514,1.639,-1.503,-0.867,-3.332,4243.412,0.119,2359.586,-1.988,10.028,-0.005,2,-0.348,3,100.000,0.000,0.000,33.524,2,0,0,0,0,0,9,0,16.849
"Molecule    48",1,0,0,1,0,5,1,-2,242.243,9.076,398.014,220.091,175.240,0.000,2.683,683.071,3.000,9.100,0.1205872,0.0396008,0.9424186,17.972,6.953,16.421,14.124,-0.510,-0.946,-1.011,-0.656,54.663,-1.047,28.124,-4.269,11.071,-0.085,3,-1.043,2,55.060,0.000,0.000,111.732,7,0,6,0,6,5,15,0,1.475
"Molecule    49",4,0,0,0,0,6,1,0,184.278,5.652,452.836,390.169,62.667,0.000,0.000,748.664,0.000,3.000,0.0426655,0.0000000,0.8805401,19.955,5.609,7.656,2.867,2.285,-2.251,-1.700,-3.465,2521.339,-0.337,1344.206,-2.098,11.039,-1.016,1,-0.266,3,100.000,0.000,0.000,39.611,2,0,5,0,5,3,13,0,8.246
"Molecule    50",21,0,0,0,0,39,5,-2,1287.448,14.241,1488.516,885.668,589.704,13.144,0.000,3274.313,19.000,48.350,0.0619363,0.1415858,0.7164046,99.968,36.748,89.882,74.251,-6.373,0.718,-4.315,-6.184,0.025,-9.447,0.005,-8.597,9.406,-0.937,21,-3.836,1,0.000,0.000,0.000,443.959,29,3,47,0,47,40,89,2,0.017
"Molecule    51",0,0,0,0,0,7,0,-2,459.906,10.034,707.026,140.832,220.137,243.008,103.049,1284.018,4.000,8.500,0.0784137,0.0240444,0.8080606,43.058,15.070,26.568,17.294,2.554,-5.271,-5.999,-5.797,80.973,-1.853,119.922,-4.049,8.833,1.674,4,0.078,3,76.053,0.000,0.000,144.182,9,0,17,0,17,0,31,0,0.000
"Molecule    52",8,0,0,0,0,19,2,-2,612.583,7.948,893.170,364.813,379.082,149.275,0.000,1688.565,7.000,19.050,0.0374065,0.0564300,0.7677905,50.648,19.405,38.392,30.288,-1.011,-2.905,-4.613,-6.001,2.518,-4.869,0.768,-6.156,8.696,0.273,12,-1.229,1,0.000,0.000,0.000,246.986,15,3,24,0,24,10,43,2,0.001
"Molecule    53",16,0,0,0,0,18,5,-2,887.069,6.816,1205.794,854.066,351.728,0.000,0.000,2481.211,9.000,29.200,0.0187241,0.0726492,0.7350796,81.586,25.899,57.169,42.986,-0.649,-4.495,-5.061,-5.819,4.576,-4.861,1.464,-6.274,10.184,-1.015,11,-1.266,1,0.000,0.000,0.000,251.154,17,3,41,0,41,36,62,2,0.000
"Molecule    54",0,0,0,0,0,11,1,-1,278.391,2.781,605.261,443.915,72.810,88.536,0.000,1048.657,1.000,3.500,0.0073752,0.0057826,0.8247289,29.596,9.284,12.189,4.759,3.988,-4.240,-3.824,-4.790,2020.405,-0.813,1058.018,-1.493,8.761,-0.172,5,0.325,3,100.000,0.000,0.000,50.090,3,0,6,0,6,0,20,0,0.514
"Molecule    55",10,0,0,3,0,13,2,-2,822.942,8.243,1057.291,564.211,483.930,9.150,0.000,2195.119,6.000,21.300,0.0309507,0.0493470,0.7725783,73.435,23.195,46.815,32.518,1.841,-5.507,-7.083,0.167,0.004,-5.625,0.002,-9.158,9.880,-0.453,8,-0.711,1,0.000,0.000,0.000,297.512,16,3,34,0,34,30,58,2,0.000
"Molecule    56",10,0,0,3,0,14,2,-2,824.958,7.733,979.252,584.798,383.906,10.547,0.000,2115.711,7.000,21.000,0.0282643,0.0567380,0.8139071,69.628,21.574,46.426,32.608,2.191,-4.360,-7.156,0.829,0.037,-4.144,0.016,-7.214,9.644,-0.735,9,-0.768,1,0.000,0.000,0.000,276.202,16,3,34,0,34,30,58,2,0.000
"Molecule    57",9,0,0,2,0,12,2,-2,778.932,3.272,1001.135,613.675,375.464,11.995,0.000,2092.216,6.000,20.300,0.0051163,0.0496683,0.7902118,69.986,21.377,44.270,30.900,1.909,-5.161,-6.623,-1.369,0.175,-4.168,0.069,-7.245,9.833,-0.564,7,-0.525,1,0.000,0.000,0.000,243.977,14,3,34,0,34,30,55,2,0.000
"Molecule    58",15,0,0,0,0,18,4,-2,885.054,7.710,1188.574,789.835,382.212,16.527,0.000,2473.946,9.000,29.200,0.0240296,0.0737018,0.7442731,81.453,25.978,57.443,43.264,-0.841,-4.274,-5.154,-5.749,2.352,-5.121,0.713,-6.777,9.944,-0.064,12,-1.242,1,0.000,0.000,0.000,264.289,17,3,41,0,41,34,62,2,0.000
"Molecule    59",10,0,0,0,0,14,3,-2,738.911,7.663,1037.223,741.126,278.816,17.281,0.000,2089.949,7.000,22.400,0.0281002,0.0571380,0.7621667,68.661,21.314,45.986,33.457,0.547,-4.765,-5.120,-5.463,22.485,-3.480,8.183,-5.253,10.169,0.286,10,-0.716,1,15.469,0.000,0.000,205.126,13,3,35,0,35,29,52,2,0.000
"Molecule    60",10,0,0,0,0,14,3,-2,752.938,7.532,1079.145,805.390,254.791,18.963,0.000,2170.406,6.000,22.400,0.0261357,0.0508445,0.7512412,71.897,21.775,45.487,31.941,1.261,-5.332,-5.444,-5.648,37.994,-3.290,14.428,-4.804,10.065,0.036,9,-0.571,2,23.727,0.000,0.000,190.664,13,3,35,0,35,29,53,1,0.000
"Molecule    61",5,0,0,1,0,15,1,-2,636.865,4.759,917.999,634.279,264.339,19.381,0.000,1896.625,6.000,12.000,0.0119419,0.0320195,0.8071923,60.303,18.875,35.843,21.157,4.155,-5.679,-6.901,-2.937,7.812,-3.045,3.320,-4.883,9.709,-0.937,9,0.396,2,41.333,0.000,0.000,160.755,9,2,19,0,19,18,45,2,0.000
"Molecule    62",2,0,0,1,0,15,1,-2,622.838,4.890,867.897,581.003,258.057,28.836,0.000,1818.505,6.000,12.000,0.0131508,0.0338679,0.8301818,57.266,18.086,34.861,21.058,3.781,-4.914,-6.628,-2.610,8.961,-2.837,3.850,-4.734,9.971,-0.745,9,0.249,2,40.215,0.000,0.000,163.110,9,2,19,0,19,18,44,2,0.000
"Molecule    63",17,0,0,0,0,26,4,-2,967.023,7.833,1217.408,663.497,539.567,14.344,0.000,2526.454,14.000,36.750,0.0242824,0.1129497,0.7368906,78.397,28.792,68.202,57.384,-5.025,-1.480,-3.298,-5.858,0.076,-7.628,0.017,-8.917,9.945,-0.501,15,-2.670,1,0.000,0.000,0.000,371.489,23,3,40,0,40,35,67,2,0.000
"Molecule    64",6,0,0,0,0,14,2,-2,642.739,3.843,840.475,495.554,324.040,20.882,0.000,1738.198,8.000,19.750,0.0084945,0.0664641,0.8318398,54.619,18.286,41.273,32.170,-0.652,-2.955,-4.105,-4.353,8.376,-3.402,2.814,-6.074,9.859,-0.749,9,-0.809,1,0.772,0.000,0.000,208.640,13,3,28,0,28,25,45,2,0.001
"Molecule    65",17,0,0,0,0,26,3,-2,945.149,11.611,1262.321,774.285,470.635,17.402,0.000,2631.969,12.000,30.600,0.0512227,0.0839735,0.7303242,82.649,28.882,63.500,48.057,-1.547,-3.458,-5.385,-5.979,0.341,-6.886,0.088,-7.636,9.574,-0.553,17,-1.606,1,0.000,0.000,0.000,286.020,18,3,35,0,35,30,66,2,0.000
"Molecule    66",13,0,0,0,0,11,1,-2,816.770,6.703,1061.846,82.101,420.423,559.323,0.000,2128.483,11.000,14.100,0.0211094,0.0440407,0.7536162,77.306,27.496,51.896,36.512,2.715,-7.150,-11.370,-8.186,1.021,-5.035,0.289,-6.241,8.895,0.224,16,0.435,1,4.126,0.000,0.000,249.414,15,3,49,0,49,9,60,3,0.000
"Molecule    67",14,0,0,0,0,20,3,-2,804.881,5.268,1057.532,607.286,439.866,10.380,0.000,2161.927,11.000,28.250,0.0128351,0.0885975,0.7645962,67.623,23.874,55.029,44.852,-2.759,-2.648,-3.747,-5.391,0.668,-5.658,0.183,-7.669,9.807,-0.832,12,-1.702,1,0.000,0.000,0.000,298.538,18,3,34,0,34,30,56,2,0.000
"Molecule    68",5,0,0,0,0,13,0,-2,212.199,7.637,398.412,168.992,229.420,0.000,0.000,667.705,7.000,11.900,0.0873381,0.0790248,0.9273046,12.220,7.931,21.232,21.344,-2.326,-0.508,-0.259,-2.708,66.117,-1.999,26.257,-4.500,10.592,-1.989,7,-1.044,2,32.950,0.000,0.000,132.461,7,1,0,0,0,0,14,1,2.085
"Molecule    69",13,0,0,0,0,15,6,-2,981.182,6.946,1269.906,1005.984,255.194,8.728,0.000,2686.670,6.000,24.950,0.0179587,0.0481254,0.7359864,91.818,26.246,53.845,34.625,3.252,-7.177,-8.755,-5.846,37.662,-3.481,14.291,-4.752,9.465,-0.853,9,0.085,1,35.315,0.000,0.000,243.080,18,3,41,0,41,36,69,2,0.000
"Molecule    70",4,0,0,0,0,1,0,0,106.124,3.742,300.676,18.442,76.389,205.845,0.000,447.066,0.000,2.000,0.0313245,0.0000000,0.9404029,13.061,4.494,5.221,4.112,1.478,-1.113,-0.759,-3.478,1868.553,-0.073,972.333,-2.106,10.027,0.527,0,-0.662,3,94.156,0.000,0.000,36.818,1,0,6,0,6,0,8,0,163.908
"Molecule    71",6,0,0,0,0,2,0,0,110.112,2.337,288.482,0.000,100.857,187.625,0.000,422.532,2.000,1.500,0.0129219,0.0073534,0.9439576,11.263,4.754,7.044,6.341,0.797,0.719,-1.136,-3.334,1095.142,-0.312,545.774,-2.525,8.862,-0.174,2,-0.692,3,86.011,0.000,0.000,43.736,2,0,6,0,6,0,8,0,102.736
"Molecule    72",2,0,0,0,0,0,1,1,146.145,6.350,330.684,0.000,70.908,259.776,0.000,512.847,0.000,2.500,0.0786142,0.0000000,0.9370081,16.851,5.529,7.553,5.227,1.390,-1.857,-1.616,-3.790,2106.107,0.025,1106.609,-1.911,9.613,0.969,0,-0.562,3,94.567,0.000,0.000,40.392,2,0,10,0,10,0,11,0,119.923
